,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
EOG,0.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
EQIX,2.0,2.0,2.0,,3.0,2.0,2.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,,2.0,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0
EA,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
ESRX,3.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETN,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0
EW,0.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,,,2.0,1.0,3.0,2.0,2.0,,,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0
EWBC,,,,0.0,2.0,,,,,,,,2.0,,,,3.0,,,,3.0,,3.0,,,,3.0,3.0,,,3.0,3.0,,3.0,,,,,3.0,,1.0,1.0,,1.0
EXPD,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0
EXPE,3.0,,,3.0,3.0,,,3.0,2.0,,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NEU,,2.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,2.0,0.0,2.0,,2.0,,,,,,,,,,,,,,,,
FANG,,,1.0,1.0,1.0,,2.0,,1.0,1.0,,0.0,1.0,1.0,,0.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
FAST,,4.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
FCX,,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,,4.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0
M,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0
FDS,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,,1.0,,,,1.0,3.0,,3.0,1.0,3.0,4.0,,
FDX,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,1.0,,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,
FFIV,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
FLR,1.0,3.0,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,3.0,4.0,3.0,,,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,,,,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0
USB,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FNF,,,,2.0,2.0,0.0,2.0,1.0,,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,2.0,,3.0
FOSL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
NEE,1.0,2.0,1.0,4.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,0.0,4.0,4.0,,3.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,,2.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0
FCN,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,1.0,,,,3.0,3.0,,3.0,1.0,3.0,3.0,3.0,1.0,,3.0,,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
GBX,,3.0,2.0,3.0,2.0,2.0,,4.0,,,,1.0,4.0,3.0,,4.0,4.0,4.0,,4.0,2.0,4.0,,4.0,2.0,,,4.0,2.0,1.0,4.0,1.0,4.0,2.0,,,,3.0,,2.0,4.0,4.0,0.0,2.0
BGC,2.0,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0
GE,,3.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0
INO,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,
GEL,,,3.0,3.0,,,2.0,1.0,,2.0,2.0,3.0,3.0,,2.0,,,4.0,,3.0,2.0,3.0,,2.0,,,,,,2.0,,3.0,,,3.0,,,,,,,,,
GES,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,,1.0,2.0,3.0,2.0,
GILD,1.0,,2.0,1.0,1.0,3.0,1.0,,,3.0,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,3.0,0.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0
GLNG,,2.0,1.0,,1.0,2.0,3.0,,1.0,2.0,,2.0,1.0,2.0,2.0,,2.0,3.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,,,,3.0,3.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,,3.0,1.0,3.0,,3.0,1.0
GLW,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GME,3.0,3.0,3.0,,3.0,3.0,3.0,0.0,,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,,,,,,,,,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0
GM,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,,4.0,1.0,1.0,,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GNW,1.0,1.0,1.0,,1.0,1.0,1.0,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
GWR,,,,,,4.0,0.0,4.0,,3.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
GOGO,3.0,,0.0,0.0,3.0,3.0,3.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,0.0,1.0,2.0,,2.0,
GOOG,,,,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,,,,3.0,1.0,1.0
GOOGL,,,3.0,3.0,3.0,,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,,,,3.0,1.0,1.0
